lr-Adam,step,val_loss,val_accuracy,epoch,train_loss
0.0003333333333333333,0,,,,
,1,1.4683226346969604,0.0,0,
,1,,,0,1.9359731674194336
0.0006000000000000001,2,,,,
,3,1.2110495567321777,0.0,1,
,3,,,1,1.6044954061508179
0.0008666666666666668,4,,,,
,5,0.8095185160636902,0.5,2,
,5,,,2,1.2040674686431885
0.001,6,,,,
,7,0.6317262649536133,0.5,3,
,7,,,3,0.9415470361709595
0.001,8,,,,
,9,0.5413304567337036,0.5,4,
,9,,,4,0.7551985383033752
0.001,10,,,,
,11,0.48957279324531555,0.5,5,
,11,,,5,0.6244338750839233
0.001,12,,,,
,13,0.4593873620033264,0.5,6,
,13,,,6,0.6141099333763123
0.001,14,,,,
,15,0.4775371253490448,0.5,7,
,15,,,7,0.6457205414772034
0.001,16,,,,
,17,0.49765121936798096,0.5,8,
,17,,,8,0.43077582120895386
0.001,18,,,,
,19,0.484033465385437,0.5,9,
,19,,,9,0.5358564853668213
0.001,20,,,,
,21,0.4171382188796997,0.5,10,
,21,,,10,0.6186128854751587
0.001,22,,,,
,23,0.3920384645462036,0.5,11,
,23,,,11,0.3218788504600525
0.001,24,,,,
,25,0.37733495235443115,0.5,12,
,25,,,12,0.42003101110458374
0.001,26,,,,
,27,0.3709942698478699,0.5,13,
,27,,,13,0.58034348487854
0.001,28,,,,
,29,0.3679911196231842,0.5,14,
,29,,,14,0.4424728751182556
0.001,30,,,,
,31,0.36316853761672974,0.5,15,
,31,,,15,0.46017202734947205
0.001,32,,,,
,33,0.3669307231903076,0.5,16,
,33,,,16,0.362520694732666
0.001,34,,,,
,35,0.36110085248947144,0.5,17,
,35,,,17,0.44557541608810425
0.001,36,,,,
,37,0.3581007719039917,0.5,18,
,37,,,18,0.36880362033843994
0.001,38,,,,
,39,0.3597211241722107,0.5,19,
,39,,,19,0.4908492863178253
