lr-Adam,step,val_loss,val_accuracy,epoch,train_loss
0.0003333333333333333,0,,,,
,1,2.1376750469207764,0.0,0,
,1,,,0,2.2062206268310547
0.0006000000000000001,2,,,,
,3,1.1666810512542725,0.5,1,
,3,,,1,1.5414172410964966
0.0008666666666666668,4,,,,
,5,0.8491328954696655,0.5,2,
,5,,,2,1.0871284008026123
0.001,6,,,,
,7,0.6544148325920105,0.5,3,
,7,,,3,0.7697219848632812
0.001,8,,,,
,9,0.5020812153816223,0.5,4,
,9,,,4,0.5433425903320312
0.001,10,,,,
,11,0.3889058232307434,0.5,5,
,11,,,5,0.6485958695411682
0.001,12,,,,
,13,0.3493298888206482,0.5,6,
,13,,,6,0.40228819847106934
0.001,14,,,,
,15,0.3157750368118286,1.0,7,
,15,,,7,0.4723094701766968
0.001,16,,,,
,17,0.28945082426071167,1.0,8,
,17,,,8,0.35733723640441895
0.001,18,,,,
,19,0.25748056173324585,1.0,9,
,19,,,9,0.3732483386993408
0.001,20,,,,
,21,0.21020746231079102,1.0,10,
,21,,,10,0.2458305060863495
0.001,22,,,,
,23,0.1663142442703247,1.0,11,
,23,,,11,0.14477777481079102
0.001,24,,,,
